Departamento,Anio,Mes,Tmaxp,Tminp,Precs,Capital
Huanuco,1951,7,26.37096774,8.441935484,2.03,Huanuco
Huanuco,1951,8,25.86451613,10.99677419,2.55,Huanuco
Huanuco,1951,9,27.49333333,13.27666667,2.55,Huanuco
Huanuco,1951,10,27.36774194,13.4,40.61,Huanuco
Huanuco,1951,11,26.91666667,14.60666667,31.25,Huanuco
Huanuco,1951,12,27.50322581,14.61935484,34.09,Huanuco
Huanuco,1952,1,26.66774194,14.91612903,66.41,Huanuco
Huanuco,1952,2,25.64482759,14.96551724,72.31,Huanuco
Huanuco,1952,3,25.98064516,14.14516129,43.89,Huanuco
Huanuco,1952,4,27.01666667,13.69,19.87,Huanuco
Huanuco,1952,5,26.90322581,11.4,1.04,Huanuco
Huanuco,1952,6,25.47666667,11.29333333,14.76,Huanuco
Huanuco,1952,7,25.63225806,9.6,2.07,Huanuco
Huanuco,1952,8,27.2,11.79032258,2.32,Huanuco
Huanuco,1952,9,26.31666667,11.92,5.38,Huanuco
Huanuco,1952,10,27.60967742,13.49677419,23.89,Huanuco
Huanuco,1952,11,26.22,14.01,73.41,Huanuco
Huanuco,1952,12,27.23225806,14.14354839,38.64,Huanuco
Huanuco,1953,1,26.7516129,14.42903226,67.83,Huanuco
Huanuco,1953,2,26.47142857,14.66071429,121.69,Huanuco
Huanuco,1953,3,26.0516129,14.88064516,94.76,Huanuco
Huanuco,1953,4,26.54333333,13.84333333,43.2,Huanuco
Huanuco,1953,5,27.30322581,13.31935484,7.39,Huanuco
Huanuco,1953,6,26.02666667,11.16666667,7.41,Huanuco
Huanuco,1953,7,25.96129032,9.529032258,3.31,Huanuco
Huanuco,1953,8,26.81290323,10.83225806,0.08,Huanuco
Huanuco,1953,9,28.21666667,13.47666667,18.34,Huanuco
Huanuco,1953,10,27.38387097,14.48387097,36.58,Huanuco
Huanuco,1953,11,27.83,15.33666667,50.76,Huanuco
Huanuco,1953,12,26.94193548,15.49032258,33.04,Huanuco
Huanuco,1954,1,25.71612903,14.60967742,72.24,Huanuco
Huanuco,1954,2,25.44285714,14.6375,49.05,Huanuco
Huanuco,1954,3,25.46451613,14.85483871,53.11,Huanuco
Huanuco,1954,4,26.82666667,13.96,35.61,Huanuco
Huanuco,1954,5,26.28387097,12.6483871,13.24,Huanuco
Huanuco,1954,6,26.18666667,10.94,0.52,Huanuco
Huanuco,1954,7,25.93225806,9.635483871,1.26,Huanuco
Huanuco,1954,8,26.61612903,10.28709677,1.03,Huanuco
Huanuco,1954,9,26.9,13.15333333,15.6,Huanuco
Huanuco,1954,10,26.68387097,13.8,39.14,Huanuco
Huanuco,1954,11,26.91666667,14.28333333,27.17,Huanuco
Huanuco,1954,12,25.85806452,14.01612903,56.59,Huanuco
Huanuco,1955,1,24.89032258,13.77741935,76.56,Huanuco
Huanuco,1955,2,24.925,14.04642857,75.25,Huanuco
Huanuco,1955,3,24.8483871,14.68387097,88.18,Huanuco
Huanuco,1955,4,26.01666667,13.43666667,28.54,Huanuco
Huanuco,1955,5,25.52258065,12.88064516,26.43,Huanuco
Huanuco,1955,6,26.73,9.803333333,12.46,Huanuco
Huanuco,1955,7,26.02258065,11.05483871,0.03,Huanuco
Huanuco,1955,8,26.60322581,10.88709677,4.07,Huanuco
Huanuco,1955,9,27.51,12.15333333,14.02,Huanuco
Huanuco,1955,10,27.82580645,13.41612903,13.23,Huanuco
Huanuco,1955,11,27.90333333,13.58333333,23.92,Huanuco
Huanuco,1955,12,27.47619048,14.62962963,36.02,Huanuco
Huanuco,1956,1,NA,NA,0,Huanuco
Huanuco,1956,2,NA,NA,0,Huanuco
Huanuco,1956,3,NA,NA,0,Huanuco
Huanuco,1956,4,26.5,14.36842105,0,Huanuco
Huanuco,1956,5,26.81818182,11.78947368,0,Huanuco
